Actual,Predicted,error,ape
62,48.457897,13.542102813720703,0.21842101312452747
32,59.363037,-27.363037109375,0.8550949096679688
50,44.10863,5.891368865966797,0.11782737731933594
50,41.97211,8.027889251708984,0.1605577850341797
33,57.076214,-24.076213836669922,0.7295822374748461
66,70.72878,-4.728782653808594,0.07164822202740294
50,50.6133,-0.6133003234863281,0.012266006469726563
50,77.269104,-27.26910400390625,0.545382080078125
50,71.66728,-21.667282104492188,0.4333456420898438
33,49.01159,-16.01158905029297,0.48519966819069604
67,50.263073,16.736927032470703,0.24980488108165227
50,60.69702,-10.697021484375,0.2139404296875
100,73.02424,26.97576141357422,0.2697576141357422
33,49.669888,-16.66988754272461,0.5051481073552911
100,80.1666,19.833396911621094,0.19833396911621093
59,48.08731,10.912689208984375,0.18496083405058264
42,58.827988,-16.827987670898438,0.40066637311662945
50,54.845985,-4.845985412597656,0.09691970825195312
50,90.59456,-40.59455871582031,0.8118911743164062
66,77.81955,-11.819549560546875,0.17908408425071023
75,42.562965,32.437034606933594,0.4324937947591146
33,50.94257,-17.942569732666016,0.5437142343232126
111,54.802372,56.197628021240234,0.5062849371282904
67,44.329163,22.67083740234375,0.3383707074976679
75,49.122826,25.877174377441406,0.34502899169921875
42,44.280025,-2.2800254821777344,0.05428632100423177
75,99.75023,-24.750228881835938,0.3300030517578125
50,82.74197,-32.741966247558594,0.6548393249511719
50,63.567,-13.567001342773438,0.27134002685546876
33,45.895466,-12.895465850830078,0.3907716924493963
34,35.919178,-1.9191780090332031,0.056446412030388325
50,63.78309,-13.783088684082031,0.27566177368164063
75,48.576443,26.42355728149414,0.35231409708658856
33,59.66878,-26.668781280517578,0.8081448872884115
67,70.07425,-3.074249267578125,0.04588431742653918
50,35.191505,14.808494567871094,0.2961698913574219
50,40.61123,9.388771057128906,0.18777542114257811
50,62.72357,-12.72357177734375,0.254471435546875
53,46.788357,6.211643218994141,0.11720081545271964
33,38.769115,-5.769115447998047,0.17482168024236505
34,48.548504,-14.548503875732422,0.4278971728156595
50,52.18361,-2.1836090087890625,0.04367218017578125
34,53.84251,-19.842510223388672,0.5836032418643727
41,51.5507,-10.550701141357422,0.2573341741794493
100,68.05292,31.94708251953125,0.3194708251953125
33,53.71105,-20.711048126220703,0.6276075189763849
59,67.31564,-8.315643310546875,0.1409431069584216
34,59.156605,-25.156604766845703,0.7399001402013442
100,62.363586,37.63641357421875,0.3763641357421875
50,41.02169,8.978309631347656,0.17956619262695311
75,58.932487,16.06751251220703,0.2142335001627604
50,50.40132,-0.4013214111328125,0.00802642822265625
42,49.121037,-7.121036529541016,0.1695484887985956
50,50.774452,-0.7744522094726562,0.015489044189453125
33,41.959904,-8.959903717041016,0.2715122338497277
33,42.7506,-9.750598907470703,0.29547269416577887
50,71.7333,-21.733299255371094,0.4346659851074219
33,57.392216,-24.392215728759766,0.7391580523866595
50,45.318443,4.681556701660156,0.09363113403320313
34,66.19079,-32.19078826904297,0.9467878902659697
38,34.72493,3.2750701904296875,0.08618605764288652
100,72.11109,27.88890838623047,0.2788890838623047
50,65.703575,-15.703575134277344,0.3140715026855469
83,70.45396,12.546043395996094,0.15115714934935054
41,56.783417,-15.783416748046875,0.3849613840987043
66,67.784996,-1.7849960327148438,0.02704539443507339
34,104.46468,-70.46468353271484,2.072490692138672
42,45.933044,-3.93304443359375,0.09364391508556548
66,69.96173,-3.96173095703125,0.06002622662168561
49,38.646408,10.353591918945312,0.21129779426419004
50,68.33643,-18.33643341064453,0.36672866821289063
50,44.07415,5.925849914550781,0.11851699829101563
50,57.00007,-7.000068664550781,0.1400013732910156
75,47.43889,27.561111450195312,0.36748148600260416
75,89.97983,-14.979827880859375,0.19973103841145834
67,42.371696,24.62830352783203,0.3675866198183885
50,37.212933,12.787067413330078,0.25574134826660155
50,67.26781,-17.267807006835938,0.3453561401367187
58,71.63386,-13.633857727050781,0.2350665125353583
50,64.69981,-14.699806213378906,0.29399612426757815
50,41.482967,8.517032623291016,0.1703406524658203
75,68.62151,6.378486633300781,0.08504648844401042
34,37.326332,-3.3263320922851562,0.09783329683191636
42,60.697224,-18.697223663330078,0.4451719919840495
33,41.110683,-8.11068344116211,0.2457782860958215
41,53.072,-12.071998596191406,0.2944389901510099
100,61.619183,38.38081741333008,0.38380817413330076
41,90.68144,-49.68144226074219,1.2117424941644437
42,41.22424,0.7757606506347656,0.018470491681780134
50,54.755184,-4.755184173583984,0.09510368347167969
50,98.38555,-48.38555145263672,0.9677110290527344
66,42.579887,23.42011260986328,0.35485019105853455
75,100.01402,-25.014022827148438,0.33352030436197916
50,59.904522,-9.904521942138672,0.19809043884277344
133,39.515373,93.48462677001953,0.7028919306016506
46,42.7423,3.257701873779297,0.07081960595172385
84,54.725807,29.274192810058594,0.3485022953578404
116,86.5191,29.48090362548828,0.25414572090938176
100,94.60736,5.39263916015625,0.0539263916015625
35,90.46271,-55.46270751953125,1.5846487862723215
34,42.11467,-8.114669799804688,0.23866675881778493
42,49.11263,-7.112628936767578,0.16934830801827566
116,47.908955,68.09104537963867,0.5869917705141264
34,48.390686,-14.39068603515625,0.42325547162224264
75,78.25064,-3.250640869140625,0.043341878255208334
50,63.561554,-13.561553955078125,0.2712310791015625
42,90.05754,-48.05754089355469,1.1442271641322546
33,49.44899,-16.448989868164062,0.498454238429214
50,47.15804,2.841960906982422,0.056839218139648436
34,53.461872,-19.461872100830078,0.5724080029655906
34,48.471603,-14.471603393554688,0.42563539392807903
91,87.18895,3.8110504150390625,0.04187967489053915
84,52.90361,31.096389770507812,0.3701951163155692
50,107.69422,-57.69422149658203,1.1538844299316406
50,51.58637,-1.5863685607910156,0.03172737121582031
75,67.90175,7.0982513427734375,0.09464335123697917
34,62.60196,-28.601959228515625,0.8412340949563419
50,80.95276,-30.9527587890625,0.61905517578125
75,61.924004,13.075996398925781,0.17434661865234374
50,46.72613,3.2738685607910156,0.06547737121582031
58,91.378174,-33.378173828125,0.5754857556573276
41,53.13813,-12.138130187988281,0.2960519558045922
33,50.05254,-17.052539825439453,0.5167436310739228
50,36.764122,13.235877990722656,0.2647175598144531
41,55.31431,-14.314308166503906,0.34912946747570506
50,56.723827,-6.723827362060547,0.13447654724121094
59,58.10721,0.892791748046875,0.015132063526218221
50,62.7071,-12.707099914550781,0.25414199829101564
67,60.99958,6.000419616699219,0.08955850174177939
33,46.595387,-13.595386505126953,0.4119814092462713
33,26.587387,6.4126129150390625,0.1943216034860322
50,58.34918,-8.349178314208984,0.16698356628417968
42,82.77065,-40.770652770996094,0.9707298278808594
