,mode,opurp,travday,tripno,vocc,bridge1,bridge2,county,workcnty,business,occuptn,vehicle,hour,hour_sin,hour_cos,target,otime
57559,1,2,3,2,1,0,0,3,3,4,2,2,18,-1.0,-1.8369701987210297e-16,3.7376696182833684,1891
57580,1,8,5,19,2,0,0,3,9999999,9999999,9999999,1,23,-0.25881904510252157,0.9659258262890681,3.2188758248682006,2316
57583,1,8,5,3,1,0,0,3,9999999,4,3,2,17,-0.9659258262890683,-0.25881904510252063,4.8283137373023015,1775
57587,1,11,2,4,1,0,0,3,9999999,9999999,9999999,1,14,-0.4999999999999998,-0.8660254037844388,3.912023005428146,1450
57595,1,9,3,8,1,0,0,3,9999999,9999999,9999999,1,15,-0.7071067811865471,-0.7071067811865479,3.044522437723423,1550
57602,1,2,3,4,1,0,0,3,3,0,1,2,17,-0.9659258262890683,-0.25881904510252063,4.204692619390966,1758
57611,1,2,1,2,1,0,0,3,3,7,4,4,18,-1.0,-1.8369701987210297e-16,3.912023005428146,1800
57613,1,2,1,2,1,0,0,3,3,9,8,2,17,-0.9659258262890683,-0.25881904510252063,3.2188758248682006,1750
57617,19,2,4,4,1,0,0,3,9999999,9999999,9999999,0,0,0.0,1.0,3.4965075614664802,0
57619,1,13,4,2,1,0,0,3,9999999,9,13,2,7,0.9659258262890683,-0.25881904510252063,4.07753744390572,791
57621,1,13,4,4,2,0,0,3,9999999,9,13,2,16,-0.8660254037844384,-0.5000000000000004,4.07753744390572,1691
57623,1,9,4,6,2,0,0,3,9999999,9,13,2,18,-1.0,-1.8369701987210297e-16,3.713572066704308,1875
57625,2,2,4,2,2,0,0,3,9999999,9,13,2,16,-0.8660254037844384,-0.5000000000000004,3.713572066704308,1650
57627,2,9,4,4,2,0,0,3,9999999,9,13,2,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1875
57630,1,4,2,3,1,0,0,3,9999999,3,13,1,16,-0.8660254037844384,-0.5000000000000004,3.912023005428146,1600
57632,1,2,3,2,1,0,0,3,3,8,5,1,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1650
57638,1,2,3,3,3,0,0,3,9999999,9,3,2,15,-0.7071067811865471,-0.7071067811865479,4.955827057601261,1583
57643,1,16,3,5,1,0,0,3,3,4,1,1,16,-0.8660254037844384,-0.5000000000000004,3.7376696182833684,1683
57645,2,17,3,2,3,0,0,3,9999999,9999999,9999999,2,16,-0.8660254037844384,-0.5000000000000004,4.6913478822291435,1616
57648,1,9,1,3,1,0,0,3,9999999,9999999,9999999,1,15,-0.7071067811865471,-0.7071067811865479,3.258096538021482,1570
57655,1,9,1,2,2,0,0,3,9999999,9999999,9999999,1,11,0.258819045102521,-0.9659258262890682,3.2188758248682006,1125
57657,2,9,1,2,2,0,0,3,9999999,9999999,9999999,1,11,0.258819045102521,-0.9659258262890682,3.2188758248682006,1125
57659,1,13,1,2,1,0,0,3,9999999,9999999,9999999,2,11,0.258819045102521,-0.9659258262890682,4.762173934797756,1183
57663,23,8,1,6,0,0,0,3,9999999,9999999,9999999,0,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1625
57665,1,2,3,2,1,0,0,3,3,8,8,1,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1700
57667,1,2,3,2,1,0,0,3,9999999,9,5,2,18,-1.0,-1.8369701987210297e-16,3.4965075614664802,1800
57680,8,2,3,6,0,0,0,3,9999999,0,2,0,19,-0.9659258262890684,0.2588190451025203,3.912023005428146,1900
57682,1,2,4,2,1,0,0,3,9999999,4,2,1,15,-0.7071067811865471,-0.7071067811865479,3.713572066704308,1525
